"","month","year","site","plot","Genus_species","rep","height","scenesced_leaves","green_leaves","emerging_leaves","leaf_area","force_to_break_leaf","leaf_wet_wt","herbivory_binary","herbivory_proportion","leaf_dry_wt","individual_biomass","notes","trt"
"153","june",2011,"pplots","6d","Solidago_missouriensis",2,29,1,5,1,794.088,126.78,0.1981,0,0,0.0548,0.2837,"","C::P0"
"154","june",2011,"pplots","6d","Andropogon_gerardii",3,41,0,5,2,1354.209,117.32,0.2232,1,0.1,0.0719,0.3639,"","C::P0"
"155","june",2011,"pplots","6d","Sorghastrum_nutans",1,47,2,2,1,1308.26,109.63,0.2396,1,0.2,0.0756,0.3622,"","C::P0"
"156","august",2011,"pplots","6d","Solidago_missouriensis",3,18.5,1,7,1,761.994,85.67,0.28,1,0.1,0.1086,0.4248,"","C::P0"
"157","august",2011,"pplots","6d","Andropogon_gerardii",2,44.5,5,1,1,1577.506,186.44,0.3023,1,0.1,0.1477,0.6759,"","C::P0"
"158","june",2011,"pplots","6d","Solidago_missouriensis",1,28.5,2,14,11,1037.352,95.85,0.3137,1,0.1,0.0838,1.7043,"","C::P0"
"159","june",2011,"pplots","6d","Solidago_missouriensis",3,27.5,2,8,1,1063.012,83.2,0.3399,0,0,0.1033,0.7393,"","C::P0"
"160","june",2011,"pplots","6d","Sorghastrum_nutans",2,45,2,2,0,2395.869,212.54,0.4579,0,0,0.1534,0.4474,"","C::P0"
"161","june",2011,"pplots","8f","Oxalis_stricta",1,6,2,4,0,53.74,8.7,0.0067,0,0,2e-04,0.0033,"","C::P0"
"162","june",2011,"pplots","8f","Oxalis_stricta",2,5,0,4,1,68.71,24.5,0.0085,1,0.1,5e-04,0.0044,"","C::P0"
"163","june",2011,"pplots","8f","Ambrosia_psilostachya",1,15,4,4,4,124.187,19.26,0.014,1,0.5,0.0041,0.0492,"","C::P0"
"164","june",2011,"pplots","8f","Oxalis_stricta",3,10.5,0,5,1,142.05,23.95,0.0181,1,0.1,0.0034,0.0236,"","C::P0"
"165","june",2011,"pplots","8f","Dichanthelium_oligosanthes",2,13,3,4,6,211.794,83.12,0.0263,1,0.2,0.0069,0.1736,"","C::P0"
"166","august",2011,"pplots","8f","Dichanthelium_oligosanthes",3,18,5,11,2,194.188,153.83,0.0272,1,0.1,0.0084,0.2336,"","C::P0"
"167","august",2011,"pplots","8f","Dichanthelium_oligosanthes",2,22,3,6,1,209.347,198.5,0.0318,1,0.3,0.0102,0.1914,"","C::P0"
"168","june",2011,"pplots","8f","Ambrosia_psilostachya",3,18,3,6,2,176.692,33.32,0.0374,1,0.2,0.0091,0.1194,"","C::P0"
"169","august",2011,"pplots","8f","Dichanthelium_oligosanthes",1,19.5,3,10,1,215.502,185.42,0.0379,1,0.2,0.0124,0.2958,"","C::P0"
"170","august",2011,"pplots","8f","Schizachyrium_scoparium",2,22.5,0,2,1,281.559,133.09,0.0437,1,0.2,0.0196,0.048,"","C::P0"
"171","august",2011,"pplots","8f","Schizachyrium_scoparium",1,24,1,3,1,292.458,153.44,0.0456,1,0.2,0.017,0.1237,"","C::P0"
"172","june",2011,"pplots","8f","Dichanthelium_oligosanthes",3,18,3,5,5,382.721,115.93,0.0602,1,0.2,0.0183,0.3664,"","C::P0"
"173","june",2011,"pplots","8f","Ambrosia_psilostachya",2,23.5,6,6,4,258.397,33.98,0.0617,1,0.5,0.0138,0.2087,"","C::P0"
"174","june",2011,"pplots","8f","Sorghastrum_nutans",2,35,0,1,1,533.244,157.21,0.0653,0,0,0.0257,0.073,"","C::P0"
"175","june",2011,"pplots","8f","Schizachyrium_scoparium",1,24.5,1,2,1,455.581,109.5,0.0671,0,0,0.0227,0.0859,"","C::P0"
"176","august",2011,"pplots","8f","Schizachyrium_scoparium",3,28.5,1,2,1,470.92,126.14,0.07,1,0.2,0.0319,0.1102,"","C::P0"
"177","june",2011,"pplots","8f","Schizachyrium_scoparium",3,26.5,1,2,1,514.282,104.18,0.0742,0,0,0.0201,0.0802,"","C::P0"
"178","august",2011,"pplots","8f","Andropogon_gerardii",1,27.5,1,1,2,581.91,121.73,0.0751,1,0.3,0.0367,0.0995,"","C::P0"
"179","june",2011,"pplots","8f","Schizachyrium_scoparium",2,35,0,2,1,563.944,108.86,0.0822,0,0,0.0267,0.1323,"","C::P0"
