sp_code,site,fire,trt,height,leaf_area,SLA,LDMC,stom_length,stom_den,SPI,N,C,CN,C13,C3_C4,Growth_form,Habit
ANDGER,konza,20,ungrazed,114,22.6015,119.1945066,0.383362676,39.9,147.7777778,9.335146836,NA,NA,NA,NA,c4,rhizomatous,p
ANDGER,konza,20,ungrazed,129,24.998,115.78739,0.364674635,35.1,130,7.70190633,1,43.5,43.5,-11.9,c4,rhizomatous,p
ANDGER,konza,20,ungrazed,104,12.8555,97.19317971,0.394495413,NA,NA,NA,NA,NA,NA,NA,c4,rhizomatous,p
ANDGER,konza,20,ungrazed,115,8.4065,106.8052995,0.378532686,NA,NA,NA,NA,NA,NA,NA,c4,rhizomatous,p
ANDGER,konza,20,ungrazed,116,24.956,104.5039466,0.374417676,NA,NA,NA,NA,NA,NA,NA,c4,rhizomatous,p
ANDGER,konza,20,ungrazed,NA,11.419,114.1097378,0.342135476,NA,NA,NA,NA,NA,NA,NA,c4,rhizomatous,p
BOUCUR,konza,1,ungrazed,NA,8.043,126.690978,0.501607717,26.76,101.8497374,5.268693904,NA,NA,NA,NA,,,
BOUCUR,konza,1,ungrazed,NA,5.6925,143.5318139,0.469879518,NA,NA,NA,1.4,42.1,30.07142857,-14.8,c4,rhizomatous,p
BOUCUR,konza,1,ungrazed,NA,3.6405,157.9146069,0.443609023,23.72,90.27936363,4.396892336,NA,NA,NA,NA,,,
BOUCUR,konza,1,ungrazed,NA,7.9255,147.7244402,0.509536785,23.52,89.51815483,4.341399786,1.3,39.6,30.46153846,-15.1,c4,rhizomatous,p
BOUCUR,konza,1,ungrazed,NA,8.4585,155.8086026,0.43418259,25.82,98.27205602,4.993535726,NA,NA,NA,NA,,,
BOUCUR,konza,1,ungrazed,NA,3.3,132.0426357,0.491803279,29,110.3752759,5.943890516,1.1,39,35.45454545,-14.3,c4,rhizomatous,p
BOUCUR,konza,1,ungrazed,NA,10.2675,130.1895662,0.50433526,NA,NA,NA,NA,NA,NA,NA,,,
