"FRich","m","sev.blackplots","n_trait","traits","SR"
0.0157231926369186,2,"5 NE 3",4,6,4
0.141616436433747,2,"5 N 1",4,6,6
0.087984845523757,2,"5 N 3",4,6,3
0.00375162284281534,2,"1 N 1",4,6,3
0.105598635018316,2,"4 E 3",4,6,3
0.0882848683480782,2,"4 W 1",4,6,3
0.133370860693501,2,"5 S 1",4,6,3
0.195275952116789,3,"5 W 3",4,6,4
0.126032857237309,3,"1 E 1",4,6,5
0.00223046540155951,3,"1 S 1",4,6,3
0.216100020668172,3,"1 W 1",4,6,5
0.170437002326601,3,"1 W 3",4,6,6
0.0860852813874735,3,"1 E 3",4,6,4
0.142795607594634,3,"1 S 3",4,6,5
0.102009075384343,3,"4 NE 1",4,6,7
0.126032857237309,3,"4 S 3",4,6,3
0.00867283198753135,3,"4 NE 3",4,6,4
0.134615138643564,3,"4 NW 1",4,6,5
0.150339263984698,3,"4 S 1",4,6,7
0.139671384734869,3,"1 NE 3",4,6,5
0.0377889332067617,3,"4 W 3",4,6,3
0.120528574941461,3,"5 E 1",4,6,4
0.0157231926369186,3,"5 NE 3",4,6,4
0.141616436433747,3,"5 N 1",4,6,6
0.087984845523757,3,"5 N 3",4,6,3
0.00375162284281534,3,"1 N 1",4,6,3
0.105598635018316,3,"4 E 3",4,6,3
0.0882848683480782,3,"4 W 1",4,6,3
0.133370860693501,3,"5 S 1",4,6,3
0.195275952116789,4,"5 W 3",4,6,4
0.126032857237309,4,"1 E 1",4,6,5
0.00223046540155951,4,"1 S 1",4,6,3
0.216100020668172,4,"1 W 1",4,6,5
0.170437002326601,4,"1 W 3",4,6,6
0.0860852813874735,4,"1 E 3",4,6,4
0.142795607594634,4,"1 S 3",4,6,5
0.102009075384343,4,"4 NE 1",4,6,7
0.126032857237309,4,"4 S 3",4,6,3
0.00867283198753135,4,"4 NE 3",4,6,4
0.134615138643564,4,"4 NW 1",4,6,5
0.150339263984698,4,"4 S 1",4,6,7
0.139671384734869,4,"1 NE 3",4,6,5
0.0377889332067617,4,"4 W 3",4,6,3
0.120528574941461,4,"5 E 1",4,6,4
0.0157231926369186,4,"5 NE 3",4,6,4
0.141616436433747,4,"5 N 1",4,6,6
0.087984845523757,4,"5 N 3",4,6,3
0.00375162284281534,4,"1 N 1",4,6,3
0.105598635018316,4,"4 E 3",4,6,3
0.0882848683480782,4,"4 W 1",4,6,3
