year,season,date,site,tmnt,kartez,obs,ccount,cover,height,live_weight,Dead_Weight,Book,Comments
1999,2,6/4/99,C,C,GUSA2,1,1,0.01,5,0.1,-888,99-1,NA
1999,2,6/4/99,C,C,GUSA2,2,1,0.01,3,0.03,-888,99-1,NA
1999,2,6/4/99,C,C,GUSA2,3,1,0.05,5,0.39,-888,99-1,NA
1999,2,6/4/99,C,C,GUSA2,4,1,0.05,6,0.19,-888,99-1,NA
1999,2,6/4/99,C,C,GUSA2,5,1,0.1,9,0.66,-888,99-1,NA
1999,2,6/4/99,C,C,GUSA2,6,1,0.25,11,1.54,-888,99-1,NA
1999,2,6/4/99,C,C,GUSA2,7,1,0.5,5,0.24,-888,99-1,NA
1999,2,6/4/99,C,C,GUSA2,8,1,1,13,3.74,-888,99-1,NA
1999,2,6/4/99,C,C,GUSA2,9,1,2,12,4.75,-888,99-1,NA
1999,2,6/4/99,C,C,GUSA2,10,1,5,26,30.19,-888,99-1,NA
1999,2,6/4/99,C,C,PLJA,1,1,0.01,1,0.01,-888,99-1,SAMPLE_MINUTE
1999,2,6/4/99,C,C,PLJA,2,1,0.01,1,0.01,-888,99-1,SAMPLE_MINUTE
1999,2,6/4/99,C,C,PLJA,3,1,0.05,2,0.01,-888,99-1,SAMPLE_MINUTE
1999,2,6/4/99,C,C,PLJA,4,1,0.1,2,0.01,-888,99-1,SAMPLE_MINUTE
1999,2,6/4/99,C,C,PLJA,5,1,0.25,4,0.02,-888,99-1,NA
1999,2,6/4/99,C,C,PLJA,6,1,0.5,3,0.01,-888,99-1,SAMPLE_MINUTE
1999,2,6/4/99,C,C,PLJA,7,1,1,5,0.03,-888,99-1,NA
1999,2,6/4/99,C,C,PLJA,8,1,2,10,0.09,-888,99-1,NA
1999,2,6/4/99,C,C,PLJA,9,1,3,5,0.06,-888,99-1,NA
1999,2,6/4/99,C,C,PLJA,10,1,4,7,0.18,-888,99-1,NA
1999,2,6/4/99,C,C,LATR2,1,1,0.1,5,0.33,-888,99-1,NA
1999,2,6/4/99,C,C,LATR2,2,1,0.25,10,1.28,-888,99-1,NA
1999,2,6/4/99,C,C,LATR2,3,1,0.5,13,1.23,-888,99-1,NA
1999,2,6/4/99,C,C,LATR2,4,1,1,8,3.96,-888,99-1,NA
1999,2,6/4/99,C,C,LATR2,5,1,2,14,15.14,-888,99-1,NA
1999,2,6/4/99,C,C,LATR2,6,1,3,20,32.68,-888,99-1,NA
1999,2,6/4/99,C,C,LATR2,7,1,4,14,20.33,-888,99-1,NA
1999,2,6/4/99,C,C,LATR2,8,1,5,40,52.92,-888,99-1,NA
1999,2,6/4/99,C,C,LATR2,9,1,6,48,39.82,-888,99-1,NA
1999,2,6/4/99,C,C,LATR2,10,1,7,30,51.78,-888,99-1,NA
1999,2,6/4/99,C,C,LATR2,11,1,8,37,60.51,-888,99-1,NA
1999,2,6/4/99,C,C,LATR2,12,1,9,69,75.58,-888,99-1,NA
1999,2,6/4/99,C,C,LATR2,13,1,10,4,78.06,-888,99-1,NA
